Year,DebWV2005,DebWV2019,DebWV2005scaled,DebWV2019scaled
1987,0.123,,0.43539823,
1988,0.14,0.21715,0.495575221,0.862177734
1989,0.239,0.33974,0.846017699,1.348912104
1990,0.257,,0.909734513,
1991,0.196,,0.69380531,
1992,0.362,0.29941,1.281415929,1.188784874
1993,0.309,0.2029,1.09380531,0.805599181
1994,0.307,0.23051,1.086725664,0.915222608
1995,0.332,0.2479,1.175221239,0.984268295
1996,0.417,0.27653,1.476106195,1.097941555
1997,0.328,0.21121,1.161061947,0.838593411
1998,0.38,0.24141,1.345132743,0.958500238
