Year,GBY_exvessel_revAFI,GPHR_exvessel_RevAFI,BYEL_exvessel_revAFI,GPHR_avg_price_per_pound,BYEL_avg_price_per_pound,GBY_max_ppp
1981,248.9018315,98.1615322,150.7402993,1.505596408,1.152557899,5.965
1982,268.6008202,123.9149275,144.6858928,1.403286309,1.145861123,4.494
1983,242.8312313,106.2338336,136.5973977,1.477551023,1.108381051,4.4321
1984,39346.67487,,39346.67487,,1.720726523,3.1305
1985,39869.91924,,39869.91924,,1.696625397,4.55175
1986,108380.6509,,108380.6509,,2.339759907,4.9575
1987,172250.9645,,172250.9645,,2.274025988,3.483
1988,289162.9658,,289162.9658,,2.252031227,3.27075
1989,211861.4134,198540.2947,13321.11868,1.978867975,2.008960178,4.4975
1990,208129.2722,194750.0948,13379.17743,1.968269242,1.968269242,5.202
1991,314042.4266,293588.1908,20454.23589,1.985868758,1.99365128,6.708
1992,406288.8299,392196.7381,14092.09179,1.968767723,2.224685356,9.02
1993,341972.4645,320306.3874,21666.07708,2.100368581,2.271534462,8.811
1994,178815.0846,143483.8671,35331.21744,1.656275777,1.832672266,7.84
1995,535734.5637,323195.2819,212539.2817,2.604889111,2.55308973,11.52
1996,680452.7207,356354.4655,324098.2552,2.807561413,3.076635118,12.818
1997,505454.8128,309008.7142,196446.0986,2.954802153,3.123745874,11.49325
1998,472444.9584,243165.2169,229279.7415,3.321200704,3.243943731,11.11228
1999,,,,,,
2000,633839.6037,421175.7126,212663.8911,6.61359124,6.570993589,11.312
2001,652516.4996,525711.6644,126804.8352,6.175054936,7.213366326,13.1385
2002,462662.9932,369320.9315,93342.06169,6.831753601,7.100331327,10.896
2003,249308.1117,178182.6885,71125.42319,7.15597063,7.171035482,20.055
2004,355630.662,209622.2502,146008.4119,6.589664233,7.835533476,13.02
2005,412075.6117,257128.7897,154946.8221,7.874148916,8.118744031,13.2615
2006,341737.5411,228221.6791,113515.862,7.578563435,8.287648924,13.486
2007,487844.016,322569.4336,165274.5824,7.697059322,8.098393975,13.731
2008,526170.3554,364634.238,161536.1173,7.473811783,7.921445958,14.6375
2009,493005.1199,316101.8787,176903.2412,7.390020866,7.048057902,13.363
2010,509175.8316,364929.1026,144246.729,6.634158371,7.531758481,13.788
2011,498282.24,370227.632,128054.608,6.816724737,7.304669495,13.5
2012,442512.3402,310104.3027,132408.0375,6.976648479,7.544159337,14.352
2013,449821.8512,281373.3741,168448.4771,7.586751559,7.565766839,10.85
2014,481162.0306,263698.0825,217463.9481,7.035471235,8.093565749,13.845
2015,640644.3388,414297.1401,226347.1987,7.26869,8.525785873,13.689
2016,520411.5329,309811.4361,210600.0969,7.624328089,8.342801672,13.025
2017,39734.28315,31588.63875,8145.644405,2.944033912,2.98814012,10.23
