Year,CalcomT,CalcomF,WCGOPT,WCGOPF,NRecT,NRecF,SRecF,SRecT,DebWVT,DebWVF,CCFRPT,CCFRPF,PISCOT,PISCOF
1959,,,,,27,271,2.1,21,,,,,,
1960,,,,,39,394,1.4,14,,,,,,
1961,,,,,1,8,0.1,1,,,,,,
1966,,,,,1,7,,,,,,,,
1975,,,,,,,50,159,,,,,,
1976,,,,,,,73,224,,,,,,
1977,,,,,,,96,392,,,,,,
1978,,,,,,,91,533,,,,,,
1979,,,,,,,,,,,,,,
1980,,,,,4,164,21,53,,,,,,
1981,,,,,1,19,30,100,,,,,,
1982,,,,,1,50,17,58,,,,,,
1983,,,,,6,323,60,170,,,,,,
1984,,,,,14,849,42,150,,,,,,
1985,,,,,35,1027,34,180,,,,,,
1986,,,,,36,826,28,86,,,,,,
1987,2,82,,,28,392,5,7,14,73,,,,
1988,,,,,30,303,10,30,54,664,,,,
1989,,,,,19,303,7,11,70,727,,,,
1990,,,,,,,,,17,109,,,,
1991,,,,,,,,,38,722,,,,
1992,56,671,,,,,,,55,838,,,,
1993,148,1648,,,14,1094,8,24,75,614,,,,
1994,170,1379,,,12,608,1,15,86,735,,,,
1995,174,1523,,,,,,,90,1171,,,,
1996,256,3270,,,74,607,14,32,100,1364,,,,
1997,140,1319,,,95,1424,7,23,107,1415,,,,
1998,206,2549,,,89,614,19,66,83,1048,,,,
1999,251,3283,,,49,1112,33,301,,,,,,
2000,384,4918,,,21,695,12,58,,,,,,
2001,142,2179,,,46,929,14,35,,,,,55,222
2002,59,870,,,58,1656,22,65,,,,,56,438
2003,55,625,,,72,1690,15,100,,,,,64,473
2004,63,770,72,572,19,2023,3,42,,,,,64,312
2005,72,700,42,260,30,3217,8,93,,,,,65,241
2006,31,478,42,266,35,3737,9,106,,,,,68,220
2007,80,1165,37,268,30,3200,10,126,,,35,2147,68,156
2008,46,503,12,46,39,4165,11,132,,,52,3143,67,198
2009,73,854,22,263,43,4612,15,184,,,35,1579,68,154
2010,75,925,37,344,47,4992,16,192,,,32,2201,58,144
2011,61,858,68,366,44,4692,22,270,,,32,1727,68,260
2012,57,709,69,302,46,4904,89,1081,,,32,1820,40,183
2013,48,581,56,348,40,4339,77,930,,,32,685,61,258
2014,15,184,62,388,44,4746,49,595,,,32,1655,61,313
2015,48,578,93,521,54,5789,36,436,,,18,1121,64,622
2016,77,928,56,317,58,6265,37,444,,,32,2015,56,346
2017,67,1581,49,226,44,4691,39,478,,,58,2402,58,317
2018,67,1210,,,33,3563,26,317,,,29,1975,60,264
