Label,Base,Retro1,Retro2,Retro3,Retro4
Female natural mortality,0.193,0.193,0.193,0.193,0.193
Steepness,0.72,0.72,0.72,0.72,0.72
lnR0,8.047,8.037,8.015,7.981,7.929
Total Unfished Biomass (mt),2046.78,2021.95,1950.4,1864.26,1730.31
Depletion,0.438,0.39,0.373,0.346,0.325
SPR ratio,1,0.997,0.991,0.981,0.971
Female Lmin,13.422,13.19,12.783,12.695,12.523
Female Lmax,28.799,28.727,28.674,28.46,28.254
Female K,0.107,0.113,0.118,0.121,0.122
Negative log-likelihood,,,,,
TOTAL,530.102,507.414,494.563,484.87,472.745
Equililibrium catch,0,0,0,0,0
Survey,-34.063,-35.721,-34.672,-32.522,-32.499
Length composition,411.53,400.45,389.174,377.934,367.723
Age composition,147.059,136.614,133.395,132.142,130.618
Recruitment,5.575,6.069,6.666,7.316,6.902
Forecast Recruitment,0,0,0,0,0
Parameter priors,0.001,0.001,0.001,0.001,0.001
