"Label","PreSTAR","PostSTAR"
"Female M","0.212","0.193"
"Steepness","0.72","0.72"
"lnR0","8.599","8.047"
"Total biomass (mt)","2369.39","2046.78"
"Depletion","0.462","0.438"
"SPR ratio","1","0.899"
"Female Lmin","9.666","13.422"
"Female Lmax","28.444","28.799"
"Female K","0.125","0.107"
"Negative log-likelihood","",""
"TOTAL","516.362","530.102"
"Catch","0","0"
"Survey","-32.175","-34.063"
"Length_comp","372.458","411.53"
"Age_comp","189.563","147.059"
"Recruitment","-13.514","5.575"
"Parm_priors","0.024","0"
"Parm_softbounds","0.005","0.001"
